Size,Length_STD,Length_ADV,CR_STD,CR_ADV
443, 4173676, 3210520, 1.8373385955210706, 2.388540174177392
444, 4172636, 3209720, 1.837796539166129, 2.389135500915968
445, 4171674, 3208980, 1.8382203403238124, 2.389686442420956
446, 4170400, 3208000, 1.838781891425283, 2.390416458852868
447, 4169178, 3207060, 1.8393208445405784, 2.391117097902752
448, 4168034, 3206180, 1.839825682803931, 2.3917733876451104
449, 4166786, 3205220, 1.8403767316104067, 2.3924897510935286
450, 4165590, 3204300, 1.8409051298855623, 2.3931766688512313
451, 4164576, 3203520, 1.8413533574606396, 2.3937593646988313
452, 4163198, 3202460, 1.8419628372227312, 2.3945516883895506
453, 4161768, 3201360, 1.8425957429630868, 2.395374465852013
454, 4160546, 3200420, 1.843136934431202, 2.3960780147605627
455, 4159350, 3199500, 1.843666919109957, 2.3967669948429444
456, 4158180, 3198600, 1.8441856773877032, 2.3974413806040142
457, 4156958, 3197660, 1.8447278033600532, 2.398146144368069
458, 4156048, 3196960, 1.8451317212890708, 2.398671237675792
459, 4154436, 3195720, 1.8458476674090056, 2.3996019676317073
460, 4153240, 3194800, 1.8463792123739537, 2.40029297608614
461, 4150016, 3192320, 1.8478135987909443, 2.4021576784282277
462, 4148664, 3191280, 1.8484157791520355, 2.402940512897646
463, 4147364, 3190280, 1.8489951689796218, 2.4036937196735084
464, 4146324, 3189480, 1.849458942427075, 2.404296625155198
465, 4145232, 3188640, 1.8499461550041107, 2.404930001505344
466, 4144322, 3187940, 1.850352361616689, 2.405458070101696
467, 4142892, 3186840, 1.8509910468339508, 2.406288360884136
468, 4141306, 3185620, 1.8516999226813957, 2.407209899485814
469, 4140240, 3184800, 1.8521766854095414, 2.4078296910324037
470, 4138992, 3183840, 1.852735158705308, 2.4085557063169003
471, 4137822, 3182940, 1.8532590333755294, 2.4092367433881883
472, 4136626, 3182020, 1.8537948560010018, 2.4099333128013023
473, 4135300, 3181000, 1.8543892825188015, 2.410706067274442
474, 4134572, 3180440, 1.854715796459706, 2.411130535397618
475, 4133038, 3179260, 1.8554041845247975, 2.4120254398822367
476, 4131764, 3178280, 1.8559762851895703, 2.4127691707464414
477, 4130360, 3177200, 1.8566071722561714, 2.4135893239330226
478, 4129346, 3176420, 1.8570630797225518, 2.414182003639317
479, 4128124, 3175480, 1.8576128042665385, 2.4148966455465
480, 4126850, 3174500, 1.8581862679767862, 2.415642148369822
481, 4125550, 3173500, 1.85877180012362, 2.4164033401607057
482, 4124510, 3172700, 1.8592404915977898, 2.417012639077127
483, 4123444, 3171880, 1.8597211457218772, 2.4176374894384405
484, 4122430, 3171100, 1.8601785839905105, 2.4182321591876637
485, 4121416, 3170320, 1.860636247347999, 2.4188271215523987
486, 4120428, 3169560, 1.8610823924116622, 2.4194071101351606
487, 4119232, 3168640, 1.8616227490949768, 2.42010957382347
488, 4118036, 3167720, 1.8621634196495611, 2.4208124455444295
489, 4116840, 3166800, 1.8627044043489667, 2.4215157256536566
490, 4115774, 3165980, 1.8631868513674463, 2.42214290677768
491, 4114812, 3165240, 1.8636224449622485, 2.422709178450923
492, 4113824, 3164480, 1.8640700234137386, 2.42329103043786
493, 4112784, 3163680, 1.8645413909410269, 2.423903808223335
494, 4111926, 3163020, 1.86493044865107, 2.424409583246391
495, 4110912, 3162240, 1.8653904535052077, 2.42500758955677
496, 4109820, 3161400, 1.8658860972013374, 2.4256519263617387
497, 4108936, 3160720, 1.8662875255297235, 2.4261737831886405
498, 4107948, 3159960, 1.8667363851733274, 2.426757300725326
499, 4106934, 3159180, 1.86719728147567, 2.427356465918371
500, 4106050, 3158500, 1.8675992742416678, 2.427879056514168
501, 4105140, 3157800, 1.8680132711673658, 2.4284172525175753
502, 4104230, 3157100, 1.8684274516779031, 2.428955687181274
503, 4103112, 3156240, 1.868936553523277, 2.42961751958026
504, 4102202, 3155540, 1.8693511436053125, 2.430156486686906
505, 4101292, 3154840, 1.8697659176669206, 2.4306956929669967
506, 4100382, 3154140, 1.8701808758305933, 2.4312351385797712
